---------------[ALL Mutants]---------------------
valueMutation_variables_cashDispenser_onCashOut_10.uml ---> KILLED.
valueMutation_variables_controller_payBills_1.uml ---> KILLED.
valueMutation_variables_controller_OnNewRequest_cashTransferAmount_1.uml ---> KILLED.
valueMutation_variables_cashDispenser_onCashOut_3.uml ---> KILLED.
valueMutation_constant_bank_processMakeLoanApplicationReq_9.uml ---> KILLED.
valueMutation_variables_controller_cashTransfer_2.uml ---> KILLED.
valueMutation_variables_pinpad_depositState_2.uml ---> KILLED.
valueMutation_variables_controller_OnNewRequest_depositAmount_2.uml ---> KILLED.
valueMutation_variables_controller_cashDispenserState_2.uml ---> KILLED.
valueMutation_variables_pinpad_billState_1.uml ---> KILLED.
valueMutation_variables_controller_cashTransfer_1.uml ---> KILLED.
valueMutation_variables_controller_OnNewRequest_billAmount_2.uml ---> KILLED.
decisionMutation_networkdelay_moreInfo9.uml ---> KILLED.
valueMutation_variables_controller_OnNewRequest_withdrawalAmount_2.uml ---> KILLED.
decisionMutation_networkdelay_exit.uml ---> KILLED.
valueMutation_variables_pinPad_sendRequestToController_billAmount_1.uml ---> KILLED.
valueMutation_constant_bank_processMakeLoanApplicationReq_2.uml ---> KILLED.
valueMutation_variables_pinPad_sendRequestToController_withdrawalAmount_1.uml ---> KILLED.
valueMutation_variables_cashDispenser_onCashOut_1.uml ---> KILLED.
valueMutation_variables_pinPad_sendRequestToController_cashTransferAmount_2.uml ---> KILLED.
decisionMutation_networkdelay_lessInfo.uml ---> KILLED.
decisionMutation_requestType_no5_1.uml ---> KILLED.
valueMutation_variables_pinpad_depositState_1.uml ---> KILLED.
decisionMutation_requestType_no3_2.uml ---> KILLED.
decisionMutation_requestType_no2_1.uml ---> KILLED.
decisionMutation_requestType_no1_2.uml ---> KILLED.
valueMutation_variables_pinpad_cashTransferState_2.uml ---> KILLED.
decisionMutation_requestType_no4_4.uml ---> KILLED.
decisionMutation_requestType_no4_3.uml ---> KILLED.
decisionMutation_networkdelay_infoOptions.uml ---> KILLED.
valueMutation_variables_cashDispenser_onCashOut_9.uml ---> KILLED.
decisionMutation_requestType_no2_2.uml ---> KILLED.
decisionMutation_requestType_no6_3.uml ---> KILLED.
valueMutation_variables_pinpad_billState_2.uml ---> KILLED.
valueMutation_variables_controller_payBills_8.uml ---> KILLED.
decisionMutation_requestType_no5_4.uml ---> KILLED.
valueMutation_variables_pinpad_cashTransferState_1.uml ---> KILLED.
decisionMutation_requestType_no5_3.uml ---> KILLED.
valueMutation_variables_controller_withdrawMoney_1.uml ---> KILLED.
decisionMutation_requestType_no2_4.uml ---> KILLED.
decisionMutation_requestType_no4_1.uml ---> KILLED.
valueMutation_constant_bank_processMakeLoanApplicationReq_1.uml ---> KILLED.
valueMutation_constant_bank_processMakeLoanApplicationReq_7.uml ---> KILLED.
valueMutation_variables_cashDispenser_onCashOut_4.uml ---> KILLED.
